date,region,mode,trips,lat,lon,methodology_note,baseline_2019,index_2019
2021-03-01,Inner Sydney,Train,727173,-33.8688,151.2093,stable,1284090.4166666667,56.6
2021-04-01,Inner Sydney,Train,734830,-33.8688,151.2093,stable,1284090.4166666667,57.2
2021-05-01,Inner Sydney,Train,796417,-33.8688,151.2093,stable,1284090.4166666667,62.0
2021-06-01,Inner Sydney,Train,752855,-33.8688,151.2093,stable,1284090.4166666667,58.6
2021-07-01,Inner Sydney,Train,741351,-33.8688,151.2093,stable,1284090.4166666667,57.7
2021-08-01,Inner Sydney,Train,705322,-33.8688,151.2093,stable,1284090.4166666667,54.9
2021-09-01,Inner Sydney,Train,668356,-33.8688,151.2093,stable,1284090.4166666667,52.0
2021-10-01,Inner Sydney,Train,695145,-33.8688,151.2093,stable,1284090.4166666667,54.1
2021-11-01,Inner Sydney,Train,655763,-33.8688,151.2093,stable,1284090.4166666667,51.1
2021-12-01,Inner Sydney,Train,690686,-33.8688,151.2093,stable,1284090.4166666667,53.8
2022-01-01,Inner Sydney,Train,972998,-33.8688,151.2093,stable,1284090.4166666667,75.8
2022-02-01,Inner Sydney,Train,987284,-33.8688,151.2093,stable,1284090.4166666667,76.9
2022-03-01,Inner Sydney,Train,1044289,-33.8688,151.2093,stable,1284090.4166666667,81.3
2022-04-01,Inner Sydney,Train,1020263,-33.8688,151.2093,stable,1284090.4166666667,79.5
2022-05-01,Inner Sydney,Train,1025417,-33.8688,151.2093,stable,1284090.4166666667,79.9
2022-06-01,Inner Sydney,Train,920386,-33.8688,151.2093,stable,1284090.4166666667,71.7
2022-07-01,Inner Sydney,Train,905437,-33.8688,151.2093,stable,1284090.4166666667,70.5
2022-08-01,Inner Sydney,Train,875850,-33.8688,151.2093,stable,1284090.4166666667,68.2
2022-09-01,Inner Sydney,Train,827224,-33.8688,151.2093,stable,1284090.4166666667,64.4
2022-10-01,Inner Sydney,Train,833508,-33.8688,151.2093,stable,1284090.4166666667,64.9
2022-11-01,Inner Sydney,Train,829441,-33.8688,151.2093,stable,1284090.4166666667,64.6
2022-12-01,Inner Sydney,Train,874619,-33.8688,151.2093,stable,1284090.4166666667,68.1
2023-01-01,Inner Sydney,Train,1109780,-33.8688,151.2093,stable,1284090.4166666667,86.4
2023-02-01,Inner Sydney,Train,1117259,-33.8688,151.2093,stable,1284090.4166666667,87.0
2023-03-01,Inner Sydney,Train,1149465,-33.8688,151.2093,stable,1284090.4166666667,89.5
2023-04-01,Inner Sydney,Train,1138248,-33.8688,151.2093,stable,1284090.4166666667,88.6
2023-05-01,Inner Sydney,Train,1135005,-33.8688,151.2093,stable,1284090.4166666667,88.4
2023-06-01,Inner Sydney,Train,1195187,-33.8688,151.2093,stable,1284090.4166666667,93.1
2023-07-01,Inner Sydney,Train,1111398,-33.8688,151.2093,stable,1284090.4166666667,86.6
2023-08-01,Inner Sydney,Train,1062048,-33.8688,151.2093,stable,1284090.4166666667,82.7
2023-09-01,Inner Sydney,Train,976235,-33.8688,151.2093,stable,1284090.4166666667,76.0
2023-10-01,Inner Sydney,Train,1032262,-33.8688,151.2093,stable,1284090.4166666667,80.4
2023-11-01,Inner Sydney,Train,975292,-33.8688,151.2093,stable,1284090.4166666667,76.0
2023-12-01,Inner Sydney,Train,1033155,-33.8688,151.2093,stable,1284090.4166666667,80.5
2024-01-01,Inner Sydney,Train,1238729,-33.8688,151.2093,stable,1284090.4166666667,96.5
2024-02-01,Inner Sydney,Train,1237242,-33.8688,151.2093,stable,1284090.4166666667,96.4
2024-03-01,Inner Sydney,Train,1259609,-33.8688,151.2093,stable,1284090.4166666667,98.1
2024-04-01,Inner Sydney,Train,1291593,-33.8688,151.2093,stable,1284090.4166666667,100.6
2024-05-01,Inner Sydney,Train,1302531,-33.8688,151.2093,stable,1284090.4166666667,101.4
2024-06-01,Inner Sydney,Train,1257100,-33.8688,151.2093,stable,1284090.4166666667,97.9
2024-07-01,Inner Sydney,Train,1131958,-33.8688,151.2093,stable,1284090.4166666667,88.2
2024-08-01,Inner Sydney,Train,1060134,-33.8688,151.2093,stable,1284090.4166666667,82.6
2024-09-01,Inner Sydney,Train,1064824,-33.8688,151.2093,stable,1284090.4166666667,82.9
2024-10-01,Inner Sydney,Train,1046399,-33.8688,151.2093,stable,1284090.4166666667,81.5
2024-11-01,Inner Sydney,Train,1051173,-33.8688,151.2093,stable,1284090.4166666667,81.9
2024-12-01,Inner Sydney,Train,1182897,-33.8688,151.2093,stable,1284090.4166666667,92.1
2025-01-01,Inner Sydney,Train,1304364,-33.8688,151.2093,stable,1284090.4166666667,101.6
2025-02-01,Inner Sydney,Train,1269056,-33.8688,151.2093,stable,1284090.4166666667,98.8
2025-03-01,Inner Sydney,Train,1359355,-33.8688,151.2093,stable,1284090.4166666667,105.9
2025-04-01,Inner Sydney,Train,1330959,-33.8688,151.2093,stable,1284090.4166666667,103.6
2025-05-01,Inner Sydney,Train,1400847,-33.8688,151.2093,stable,1284090.4166666667,109.1
2025-06-01,Inner Sydney,Train,1291511,-33.8688,151.2093,stable,1284090.4166666667,100.6
2025-07-01,Inner Sydney,Train,1212788,-33.8688,151.2093,stable,1284090.4166666667,94.4
2025-08-01,Inner Sydney,Train,1161652,-33.8688,151.2093,stable,1284090.4166666667,90.5
2025-09-01,Inner Sydney,Train,1170089,-33.8688,151.2093,stable,1284090.4166666667,91.1
2025-10-01,Inner Sydney,Train,1115470,-33.8688,151.2093,stable,1284090.4166666667,86.9
2025-11-01,Inner Sydney,Train,1173325,-33.8688,151.2093,stable,1284090.4166666667,91.4
2025-12-01,Inner Sydney,Train,1255274,-33.8688,151.2093,stable,1284090.4166666667,97.8
2019-01-01,Inner Sydney,Bus,899014,-33.8688,151.2093,stable,897748.0,100.1
2019-02-01,Inner Sydney,Bus,914523,-33.8688,151.2093,stable,897748.0,101.9
2019-03-01,Inner Sydney,Bus,1031141,-33.8688,151.2093,stable,897748.0,114.9
2019-04-01,Inner Sydney,Bus,983923,-33.8688,151.2093,stable,897748.0,109.6
2019-05-01,Inner Sydney,Bus,925278,-33.8688,151.2093,stable,897748.0,103.1
2019-06-01,Inner Sydney,Bus,894966,-33.8688,151.2093,stable,897748.0,99.7
2019-07-01,Inner Sydney,Bus,867373,-33.8688,151.2093,stable,897748.0,96.6
2019-08-01,Inner Sydney,Bus,886960,-33.8688,151.2093,stable,897748.0,98.8
2019-09-01,Inner Sydney,Bus,876638,-33.8688,151.2093,stable,897748.0,97.6
2019-10-01,Inner Sydney,Bus,829379,-33.8688,151.2093,stable,897748.0,92.4
2019-11-01,Inner Sydney,Bus,802592,-33.8688,151.2093,stable,897748.0,89.4
2019-12-01,Inner Sydney,Bus,861189,-33.8688,151.2093,stable,897748.0,95.9
2020-01-01,Inner Sydney,Bus,964176,-33.8688,151.2093,stable,897748.0,107.4
2020-02-01,Inner Sydney,Bus,949706,-33.8688,151.2093,stable,897748.0,105.8
2020-03-01,Inner Sydney,Bus,359818,-33.8688,151.2093,stable,897748.0,40.1
2020-04-01,Inner Sydney,Bus,358872,-33.8688,151.2093,stable,897748.0,40.0
2020-05-01,Inner Sydney,Bus,320601,-33.8688,151.2093,stable,897748.0,35.7
2020-06-01,Inner Sydney,Bus,340013,-33.8688,151.2093,stable,897748.0,37.9
2020-07-01,Inner Sydney,Bus,325444,-33.8688,151.2093,stable,897748.0,36.3
2020-08-01,Inner Sydney,Bus,307116,-33.8688,151.2093,stable,897748.0,34.2
2020-09-01,Inner Sydney,Bus,288139,-33.8688,151.2093,stable,897748.0,32.1
2020-10-01,Inner Sydney,Bus,297976,-33.8688,151.2093,stable,897748.0,33.2
2020-11-01,Inner Sydney,Bus,282615,-33.8688,151.2093,stable,897748.0,31.5
2020-12-01,Inner Sydney,Bus,303366,-33.8688,151.2093,stable,897748.0,33.8
2021-01-01,Inner Sydney,Bus,497720,-33.8688,151.2093,stable,897748.0,55.4
2021-02-01,Inner Sydney,Bus,548866,-33.8688,151.2093,stable,897748.0,61.1
2021-03-01,Inner Sydney,Bus,559313,-33.8688,151.2093,stable,897748.0,62.3
2021-04-01,Inner Sydney,Bus,525192,-33.8688,151.2093,stable,897748.0,58.5
2021-05-01,Inner Sydney,Bus,535213,-33.8688,151.2093,stable,897748.0,59.6
2021-06-01,Inner Sydney,Bus,500447,-33.8688,151.2093,stable,897748.0,55.7
2021-07-01,Inner Sydney,Bus,525282,-33.8688,151.2093,stable,897748.0,58.5
2021-08-01,Inner Sydney,Bus,501843,-33.8688,151.2093,stable,897748.0,55.9
2021-09-01,Inner Sydney,Bus,454557,-33.8688,151.2093,stable,897748.0,50.6
2021-10-01,Inner Sydney,Bus,468137,-33.8688,151.2093,stable,897748.0,52.1
2021-11-01,Inner Sydney,Bus,471915,-33.8688,151.2093,stable,897748.0,52.6
2021-12-01,Inner Sydney,Bus,460463,-33.8688,151.2093,stable,897748.0,51.3
2022-01-01,Inner Sydney,Bus,675839,-33.8688,151.2093,stable,897748.0,75.3
2022-02-01,Inner Sydney,Bus,684627,-33.8688,151.2093,stable,897748.0,76.3
2022-03-01,Inner Sydney,Bus,724018,-33.8688,151.2093,stable,897748.0,80.6
2022-04-01,Inner Sydney,Bus,710193,-33.8688,151.2093,stable,897748.0,79.1
2022-05-01,Inner Sydney,Bus,658606,-33.8688,151.2093,stable,897748.0,73.4
2022-06-01,Inner Sydney,Bus,667029,-33.8688,151.2093,stable,897748.0,74.3
2022-07-01,Inner Sydney,Bus,617419,-33.8688,151.2093,stable,897748.0,68.8
2022-08-01,Inner Sydney,Bus,661379,-33.8688,151.2093,stable,897748.0,73.7
2022-09-01,Inner Sydney,Bus,637520,-33.8688,151.2093,stable,897748.0,71.0
2022-10-01,Inner Sydney,Bus,626774,-33.8688,151.2093,stable,897748.0,69.8
2022-11-01,Inner Sydney,Bus,595720,-33.8688,151.2093,stable,897748.0,66.4
2022-12-01,Inner Sydney,Bus,595624,-33.8688,151.2093,stable,897748.0,66.3
2023-01-01,Inner Sydney,Bus,799074,-33.8688,151.2093,stable,897748.0,89.0
2023-02-01,Inner Sydney,Bus,837613,-33.8688,151.2093,stable,897748.0,93.3
2023-03-01,Inner Sydney,Bus,776718,-33.8688,151.2093,stable,897748.0,86.5
2023-04-01,Inner Sydney,Bus,824164,-33.8688,151.2093,stable,897748.0,91.8
2023-05-01,Inner Sydney,Bus,775106,-33.8688,151.2093,stable,897748.0,86.3
2023-06-01,Inner Sydney,Bus,819836,-33.8688,151.2093,stable,897748.0,91.3
2023-07-01,Inner Sydney,Bus,788784,-33.8688,151.2093,stable,897748.0,87.9
2023-08-01,Inner Sydney,Bus,701100,-33.8688,151.2093,stable,897748.0,78.1
2023-09-01,Inner Sydney,Bus,709330,-33.8688,151.2093,stable,897748.0,79.0
2023-10-01,Inner Sydney,Bus,707450,-33.8688,151.2093,stable,897748.0,78.8
2023-11-01,Inner Sydney,Bus,691383,-33.8688,151.2093,stable,897748.0,77.0
2023-12-01,Inner Sydney,Bus,766620,-33.8688,151.2093,stable,897748.0,85.4
2024-01-01,Inner Sydney,Bus,811445,-33.8688,151.2093,stable,897748.0,90.4
2024-02-01,Inner Sydney,Bus,822302,-33.8688,151.2093,stable,897748.0,91.6
2024-03-01,Inner Sydney,Bus,879871,-33.8688,151.2093,stable,897748.0,98.0
2024-04-01,Inner Sydney,Bus,908925,-33.8688,151.2093,stable,897748.0,101.2
2024-05-01,Inner Sydney,Bus,844336,-33.8688,151.2093,stable,897748.0,94.1
2024-06-01,Inner Sydney,Bus,832515,-33.8688,151.2093,stable,897748.0,92.7
2024-07-01,Inner Sydney,Bus,937076,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,104.4
2024-08-01,Inner Sydney,Bus,864411,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,96.3
2024-09-01,Inner Sydney,Bus,817123,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,91.0
2024-10-01,Inner Sydney,Bus,815474,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,90.8
2024-11-01,Inner Sydney,Bus,785798,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,87.5
2024-12-01,Inner Sydney,Bus,821086,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,91.5
2025-01-01,Inner Sydney,Bus,925156,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,103.1
2025-02-01,Inner Sydney,Bus,991625,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,110.5
2025-03-01,Inner Sydney,Bus,976181,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,108.7
2025-04-01,Inner Sydney,Bus,984756,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,109.7
2025-05-01,Inner Sydney,Bus,956918,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,106.6
2025-06-01,Inner Sydney,Bus,996664,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,111.0
2025-07-01,Inner Sydney,Bus,912799,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,101.7
2025-08-01,Inner Sydney,Bus,949813,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,105.8
2025-09-01,Inner Sydney,Bus,916017,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,102.0
2025-10-01,Inner Sydney,Bus,823309,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,91.7
2025-11-01,Inner Sydney,Bus,850513,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,94.7
2025-12-01,Inner Sydney,Bus,924114,-33.8688,151.2093,synthetic allocation change from July 2024,897748.0,102.9
2019-01-01,Inner Sydney,Ferry,112987,-33.8688,151.2093,stable,116543.16666666667,96.9
2019-02-01,Inner Sydney,Ferry,116311,-33.8688,151.2093,stable,116543.16666666667,99.8
2019-03-01,Inner Sydney,Ferry,131644,-33.8688,151.2093,stable,116543.16666666667,113.0
2019-04-01,Inner Sydney,Ferry,127437,-33.8688,151.2093,stable,116543.16666666667,109.3
2019-05-01,Inner Sydney,Ferry,124695,-33.8688,151.2093,stable,116543.16666666667,107.0
2019-06-01,Inner Sydney,Ferry,125835,-33.8688,151.2093,stable,116543.16666666667,108.0
2019-07-01,Inner Sydney,Ferry,121317,-33.8688,151.2093,stable,116543.16666666667,104.1
2019-08-01,Inner Sydney,Ferry,108147,-33.8688,151.2093,stable,116543.16666666667,92.8
2019-09-01,Inner Sydney,Ferry,103626,-33.8688,151.2093,stable,116543.16666666667,88.9
2019-10-01,Inner Sydney,Ferry,106749,-33.8688,151.2093,stable,116543.16666666667,91.6
2019-11-01,Inner Sydney,Ferry,107895,-33.8688,151.2093,stable,116543.16666666667,92.6
2019-12-01,Inner Sydney,Ferry,111875,-33.8688,151.2093,stable,116543.16666666667,96.0
2020-01-01,Inner Sydney,Ferry,120216,-33.8688,151.2093,stable,116543.16666666667,103.2
2020-02-01,Inner Sydney,Ferry,124211,-33.8688,151.2093,stable,116543.16666666667,106.6
2020-03-01,Inner Sydney,Ferry,46331,-33.8688,151.2093,stable,116543.16666666667,39.8
2020-04-01,Inner Sydney,Ferry,42094,-33.8688,151.2093,stable,116543.16666666667,36.1
2020-05-01,Inner Sydney,Ferry,43275,-33.8688,151.2093,stable,116543.16666666667,37.1
2020-06-01,Inner Sydney,Ferry,41766,-33.8688,151.2093,stable,116543.16666666667,35.8
2020-07-01,Inner Sydney,Ferry,42727,-33.8688,151.2093,stable,116543.16666666667,36.7
2020-08-01,Inner Sydney,Ferry,38126,-33.8688,151.2093,stable,116543.16666666667,32.7
2020-09-01,Inner Sydney,Ferry,36696,-33.8688,151.2093,stable,116543.16666666667,31.5
2020-10-01,Inner Sydney,Ferry,37441,-33.8688,151.2093,stable,116543.16666666667,32.1
2020-11-01,Inner Sydney,Ferry,37755,-33.8688,151.2093,stable,116543.16666666667,32.4
2020-12-01,Inner Sydney,Ferry,38267,-33.8688,151.2093,stable,116543.16666666667,32.8
2021-01-01,Inner Sydney,Ferry,62418,-33.8688,151.2093,stable,116543.16666666667,53.6
2021-02-01,Inner Sydney,Ferry,70323,-33.8688,151.2093,stable,116543.16666666667,60.3
2021-03-01,Inner Sydney,Ferry,68338,-33.8688,151.2093,stable,116543.16666666667,58.6
2021-04-01,Inner Sydney,Ferry,72511,-33.8688,151.2093,stable,116543.16666666667,62.2
2021-05-01,Inner Sydney,Ferry,69223,-33.8688,151.2093,stable,116543.16666666667,59.4
2021-06-01,Inner Sydney,Ferry,63314,-33.8688,151.2093,stable,116543.16666666667,54.3
2021-07-01,Inner Sydney,Ferry,68205,-33.8688,151.2093,stable,116543.16666666667,58.5
2021-08-01,Inner Sydney,Ferry,64267,-33.8688,151.2093,stable,116543.16666666667,55.1
2021-09-01,Inner Sydney,Ferry,63262,-33.8688,151.2093,stable,116543.16666666667,54.3
2021-10-01,Inner Sydney,Ferry,62231,-33.8688,151.2093,stable,116543.16666666667,53.4
2021-11-01,Inner Sydney,Ferry,62397,-33.8688,151.2093,stable,116543.16666666667,53.5
2021-12-01,Inner Sydney,Ferry,59302,-33.8688,151.2093,stable,116543.16666666667,50.9
2022-01-01,Inner Sydney,Ferry,84094,-33.8688,151.2093,stable,116543.16666666667,72.2
2022-02-01,Inner Sydney,Ferry,84600,-33.8688,151.2093,stable,116543.16666666667,72.6
2022-03-01,Inner Sydney,Ferry,89006,-33.8688,151.2093,stable,116543.16666666667,76.4
2022-04-01,Inner Sydney,Ferry,86160,-33.8688,151.2093,stable,116543.16666666667,73.9
2022-05-01,Inner Sydney,Ferry,88768,-33.8688,151.2093,stable,116543.16666666667,76.2
2022-06-01,Inner Sydney,Ferry,92711,-33.8688,151.2093,stable,116543.16666666667,79.6
2022-07-01,Inner Sydney,Ferry,81866,-33.8688,151.2093,stable,116543.16666666667,70.2
2022-08-01,Inner Sydney,Ferry,83627,-33.8688,151.2093,stable,116543.16666666667,71.8
2022-09-01,Inner Sydney,Ferry,77980,-33.8688,151.2093,stable,116543.16666666667,66.9
2022-10-01,Inner Sydney,Ferry,76784,-33.8688,151.2093,stable,116543.16666666667,65.9
2022-11-01,Inner Sydney,Ferry,82706,-33.8688,151.2093,stable,116543.16666666667,71.0
2022-12-01,Inner Sydney,Ferry,85678,-33.8688,151.2093,stable,116543.16666666667,73.5
2023-01-01,Inner Sydney,Ferry,98937,-33.8688,151.2093,stable,116543.16666666667,84.9
2023-02-01,Inner Sydney,Ferry,104890,-33.8688,151.2093,stable,116543.16666666667,90.0
2023-03-01,Inner Sydney,Ferry,100735,-33.8688,151.2093,stable,116543.16666666667,86.4
2023-04-01,Inner Sydney,Ferry,103553,-33.8688,151.2093,stable,116543.16666666667,88.9
2023-05-01,Inner Sydney,Ferry,110999,-33.8688,151.2093,stable,116543.16666666667,95.2
2023-06-01,Inner Sydney,Ferry,103182,-33.8688,151.2093,stable,116543.16666666667,88.5
2023-07-01,Inner Sydney,Ferry,98777,-33.8688,151.2093,stable,116543.16666666667,84.8
2023-08-01,Inner Sydney,Ferry,97156,-33.8688,151.2093,stable,116543.16666666667,83.4
2023-09-01,Inner Sydney,Ferry,86610,-33.8688,151.2093,stable,116543.16666666667,74.3
2023-10-01,Inner Sydney,Ferry,91330,-33.8688,151.2093,stable,116543.16666666667,78.4
2023-11-01,Inner Sydney,Ferry,91502,-33.8688,151.2093,stable,116543.16666666667,78.5
2023-12-01,Inner Sydney,Ferry,98342,-33.8688,151.2093,stable,116543.16666666667,84.4
2024-01-01,Inner Sydney,Ferry,100971,-33.8688,151.2093,stable,116543.16666666667,86.6
2024-02-01,Inner Sydney,Ferry,115567,-33.8688,151.2093,stable,116543.16666666667,99.2
2024-03-01,Inner Sydney,Ferry,106922,-33.8688,151.2093,stable,116543.16666666667,91.7
2024-04-01,Inner Sydney,Ferry,109436,-33.8688,151.2093,stable,116543.16666666667,93.9
2024-05-01,Inner Sydney,Ferry,113879,-33.8688,151.2093,stable,116543.16666666667,97.7
2024-06-01,Inner Sydney,Ferry,111814,-33.8688,151.2093,stable,116543.16666666667,95.9
2024-07-01,Inner Sydney,Ferry,101954,-33.8688,151.2093,stable,116543.16666666667,87.5
2024-08-01,Inner Sydney,Ferry,96477,-33.8688,151.2093,stable,116543.16666666667,82.8
2024-09-01,Inner Sydney,Ferry,102594,-33.8688,151.2093,stable,116543.16666666667,88.0
2024-10-01,Inner Sydney,Ferry,93925,-33.8688,151.2093,stable,116543.16666666667,80.6
2024-11-01,Inner Sydney,Ferry,99116,-33.8688,151.2093,stable,116543.16666666667,85.0
2024-12-01,Inner Sydney,Ferry,102536,-33.8688,151.2093,stable,116543.16666666667,88.0
2025-01-01,Inner Sydney,Ferry,111231,-33.8688,151.2093,stable,116543.16666666667,95.4
2025-02-01,Inner Sydney,Ferry,117985,-33.8688,151.2093,stable,116543.16666666667,101.2
2025-03-01,Inner Sydney,Ferry,120430,-33.8688,151.2093,stable,116543.16666666667,103.3
2025-04-01,Inner Sydney,Ferry,127633,-33.8688,151.2093,stable,116543.16666666667,109.5
2025-05-01,Inner Sydney,Ferry,115839,-33.8688,151.2093,stable,116543.16666666667,99.4
2025-06-01,Inner Sydney,Ferry,119843,-33.8688,151.2093,stable,116543.16666666667,102.8
2025-07-01,Inner Sydney,Ferry,108797,-33.8688,151.2093,stable,116543.16666666667,93.4
2025-08-01,Inner Sydney,Ferry,106478,-33.8688,151.2093,stable,116543.16666666667,91.4
2025-09-01,Inner Sydney,Ferry,106692,-33.8688,151.2093,stable,116543.16666666667,91.5
2025-10-01,Inner Sydney,Ferry,100854,-33.8688,151.2093,stable,116543.16666666667,86.5
2025-11-01,Inner Sydney,Ferry,102232,-33.8688,151.2093,stable,116543.16666666667,87.7
2025-12-01,Inner Sydney,Ferry,111086,-33.8688,151.2093,stable,116543.16666666667,95.3
2019-01-01,Inner Sydney,Light rail,147998,-33.8688,151.2093,stable,156432.83333333334,94.6
2019-02-01,Inner Sydney,Light rail,161427,-33.8688,151.2093,stable,156432.83333333334,103.2
2019-03-01,Inner Sydney,Light rail,176785,-33.8688,151.2093,stable,156432.83333333334,113.0
2019-04-01,Inner Sydney,Light rail,178509,-33.8688,151.2093,stable,156432.83333333334,114.1
2019-05-01,Inner Sydney,Light rail,158265,-33.8688,151.2093,stable,156432.83333333334,101.2
2019-06-01,Inner Sydney,Light rail,156655,-33.8688,151.2093,stable,156432.83333333334,100.1
2019-07-01,Inner Sydney,Light rail,151604,-33.8688,151.2093,stable,156432.83333333334,96.9
2019-08-01,Inner Sydney,Light rail,157546,-33.8688,151.2093,stable,156432.83333333334,100.7
2019-09-01,Inner Sydney,Light rail,151827,-33.8688,151.2093,stable,156432.83333333334,97.1
2019-10-01,Inner Sydney,Light rail,150051,-33.8688,151.2093,stable,156432.83333333334,95.9
2019-11-01,Inner Sydney,Light rail,142918,-33.8688,151.2093,stable,156432.83333333334,91.4
2019-12-01,Inner Sydney,Light rail,143609,-33.8688,151.2093,stable,156432.83333333334,91.8
2020-01-01,Inner Sydney,Light rail,162247,-33.8688,151.2093,stable,156432.83333333334,103.7
2020-02-01,Inner Sydney,Light rail,166202,-33.8688,151.2093,stable,156432.83333333334,106.2
2020-03-01,Inner Sydney,Light rail,59165,-33.8688,151.2093,stable,156432.83333333334,37.8
2020-04-01,Inner Sydney,Light rail,62415,-33.8688,151.2093,stable,156432.83333333334,39.9
2020-05-01,Inner Sydney,Light rail,59461,-33.8688,151.2093,stable,156432.83333333334,38.0
2020-06-01,Inner Sydney,Light rail,53430,-33.8688,151.2093,stable,156432.83333333334,34.2
2020-07-01,Inner Sydney,Light rail,56677,-33.8688,151.2093,stable,156432.83333333334,36.2
2020-08-01,Inner Sydney,Light rail,51154,-33.8688,151.2093,stable,156432.83333333334,32.7
2020-09-01,Inner Sydney,Light rail,51813,-33.8688,151.2093,stable,156432.83333333334,33.1
2020-10-01,Inner Sydney,Light rail,52877,-33.8688,151.2093,stable,156432.83333333334,33.8
2020-11-01,Inner Sydney,Light rail,48587,-33.8688,151.2093,stable,156432.83333333334,31.1
2020-12-01,Inner Sydney,Light rail,49997,-33.8688,151.2093,stable,156432.83333333334,32.0
2021-01-01,Inner Sydney,Light rail,81754,-33.8688,151.2093,stable,156432.83333333334,52.3
2021-02-01,Inner Sydney,Light rail,89801,-33.8688,151.2093,stable,156432.83333333334,57.4
2021-03-01,Inner Sydney,Light rail,89238,-33.8688,151.2093,stable,156432.83333333334,57.0
2021-04-01,Inner Sydney,Light rail,93829,-33.8688,151.2093,stable,156432.83333333334,60.0
2021-05-01,Inner Sydney,Light rail,94140,-33.8688,151.2093,stable,156432.83333333334,60.2
2021-06-01,Inner Sydney,Light rail,86058,-33.8688,151.2093,stable,156432.83333333334,55.0
2021-07-01,Inner Sydney,Light rail,87182,-33.8688,151.2093,stable,156432.83333333334,55.7
2021-08-01,Inner Sydney,Light rail,80035,-33.8688,151.2093,stable,156432.83333333334,51.2
2021-09-01,Inner Sydney,Light rail,79745,-33.8688,151.2093,stable,156432.83333333334,51.0
2021-10-01,Inner Sydney,Light rail,82775,-33.8688,151.2093,stable,156432.83333333334,52.9
2021-11-01,Inner Sydney,Light rail,83172,-33.8688,151.2093,stable,156432.83333333334,53.2
